trait,term,Df,Sum Sq,Mean Sq,F value,Pr(>F)
Cprot,loc:year,4,260.451310339403,65.1128275848507,55.0571758631144,1.89706483787366e-11
Cprot,loc:cut,6,164.227835773763,27.3713059622939,23.1442384222267,1.14601008108331e-08
Cprot,year:cut,2,118.485255138693,59.2426275693465,50.0935358770593,4.1530876597922e-09
Cprot,FD:loc:year,20,35.7070594812711,1.78535297406355,1.50963329833369,0.170334297490712
Cprot,FD:loc:cut,30,40.2710032938905,1.34236677646302,1.13505934891578,0.381393827860481
Cprot,FD:year:cut,10,12.8750491143125,1.28750491143125,1.0886700357302,0.409875579646224
Cprot,loc:year:cut,2,23.0371615219579,11.518580760979,9.73971719818622,0.000862610559117254
Cprot,FD:loc:year:cut,10,25.3205871092947,2.53205871092947,2.14102208296372,0.0635491986803305
Cprot,Residuals,23,27.2007238107337,1.18264016568407,NA,NA
DM,FD,5,50.3601116512839,10.0720223302568,8.51655695663848,0.000111600656692241
DM,loc,2,27.3811360038662,13.6905680019331,11.576275184273,0.000332368232396928
DM,year,2,48.6877104526562,24.3438552263281,20.5843298178926,7.51027750905188e-06
DM,cut,4,728.683613071799,182.17090326795,154.037473573018,3.00419059849292e-16
DM,FD:loc,10,24.1993550696879,2.41993550696879,2.046214543685,0.0753989350555286
DM,FD:year,10,92.0417303590945,9.20417303590945,7.78273333088218,2.56725758000554e-05
DM,FD:cut,20,82.6512339459344,4.13256169729672,3.49435256573273,0.00237755774214573
DM,loc:year,4,260.451310339403,65.1128275848507,55.0571758631144,1.89706483787366e-11
DM,loc:cut,6,164.227835773763,27.3713059622939,23.1442384222267,1.14601008108331e-08
DM,year:cut,2,118.485255138693,59.2426275693465,50.0935358770593,4.1530876597922e-09
DM,FD:loc:year,20,35.7070594812711,1.78535297406355,1.50963329833369,0.170334297490712
DM,FD:loc:cut,30,40.2710032938905,1.34236677646302,1.13505934891578,0.381393827860481
DM,FD:year:cut,10,12.8750491143125,1.28750491143125,1.0886700357302,0.409875579646224
